No Workers,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,Mean,Stdev,Variance,Median,Min,Max
3,0.4106853533,0.3918635692,0.3822883486,0.4119896298,0.3961806162,0.4332147693,0.4481000917,0.3958708323,0.4150159714,0.3593066919,0.3900090446,0.3866092536,0.4223619473,0.3977304491,0.3875383616,0.4264796521,0.4032681449,0.3755658968,0.4088866727,0.3810917477,0.4302380101,0.3810917477,0.3874676731,0.403404784,0.4160055011,0.3772047309,0.417446874,0.4087963414,0.405010976,0.4282221491,0.3787970735,0.4110261637,0.383831921,0.3703414803,0.4029493177,0.4311539967,0.451218604,0.3903200757,0.3847089036,0.4288110486,0.3757300184,0.3875496436,0.4257915619,0.4057837156,0.4025922826,0.4220420688,0.4550779909,0.4076517012,0.4190979614,0.424127962,0.3834171526,0.4210729379,0.4245411206,0.3952582683,0.3933392447,0.4330256777,0.3998602036,0.3918072731,0.3856144944,0.3968034318,0.3786356202,0.3737200648,0.3810834719,0.3978697065,0.399397956,0.3995207776,0.4132341064,0.4060572278,0.4240928174,0.3939701814,0.403274656,0.4209526935,0.4147868472,0.3961714885,0.3697699661,0.3750804416,0.4105632352,0.4041709491,0.3770171758,0.3773324742,0.405576743,0.415663753,0.40173273,0.4213081762,0.382885137,0.3881427305,0.4125720268,0.3670908589,0.4075001599,0.3981602574,0.4189076097,0.4306630236,0.4198971971,0.3864934678,0.4271829861,0.4156689595,0.4057171557,0.4189880198,0.3734236139,0.4198648634,0.4029643045,0.0198360656,0.0003934695,0.4032714004,0.3593066919,0.4550779909
4,0.401233571,0.3872325982,0.4030970232,0.3828254297,0.4093025669,0.3904844321,0.412557843,0.3903757123,0.3965931111,0.3914942787,0.4029357834,0.3966853886,0.4024432816,0.4080583594,0.408079979,0.3678072632,0.3725368337,0.3953022518,0.4164268674,0.3776119437,0.3887510412,0.3985020464,0.4013898218,0.4117284932,0.3876509889,0.4035609704,0.3918921254,0.3978106413,0.4090561141,0.3707655498,0.3932167399,0.3788992567,0.3996883673,0.4029068759,0.3920523703,0.3948828205,0.4014519617,0.3907066199,0.3871252562,0.4059376977,0.3840804631,0.4070955568,0.3950293328,0.383683164,0.3889131706,0.3932656341,0.3977732207,0.4016781642,0.4043043812,0.4016923651,0.4058466353,0.3823000898,0.402736646,0.3765438087,0.3666390639,0.400284768,0.4124612078,0.4169646413,0.3899271976,0.3998356077,0.4113613207,0.3953602617,0.4194485917,0.3868862278,0.3962291125,0.4136228504,0.3962379071,0.3989866522,0.3947921072,0.4105960331,0.4069306801,0.411203008,0.3963642546,0.3959560706,0.3900966525,0.3871755831,0.3959795296,0.3836507549,0.4060998696,0.4120499968,0.377095734,0.3816280048,0.379372255,0.409511603,0.3695359993,0.3851638028,0.4204631613,0.407257662,0.3968742365,0.3943841249,0.3988915433,0.3693868882,0.4027129576,0.4081917066,0.417903557,0.4219137778,0.399877199,0.3864854575,0.3913421364,0.3936170371,0.396527517,0.0124422196,0.0001548088,0.3966392498,0.3666390639,0.4219137778
5,0.4018787591,0.3918564891,0.4064286964,0.3774760638,0.4052273472,0.411006263,0.3778943144,0.4107280863,0.4028056378,0.3997173795,0.4105008243,0.3916843611,0.4051484857,0.3825374233,0.3852978723,0.4064404856,0.4178108534,0.3811334123,0.3853085136,0.4101557212,0.3991952381,0.3954219929,0.3960586104,0.4054855528,0.3943731332,0.3910311845,0.3979878701,0.4098011159,0.4116822442,0.4032829866,0.3984631475,0.4040524711,0.3948201314,0.4015160271,0.3909478897,0.3863546781,0.3929817609,0.4026676201,0.3958803191,0.3810670331,0.4104534103,0.4081615653,0.4061597447,0.4082108663,0.4197696793,0.3976889231,0.4052040134,0.4112941636,0.4219770177,0.3848493336,0.4047198237,0.4028146575,0.41335685,0.3879850618,0.3956612918,0.3934440749,0.4197299475,0.4060746802,0.4067021739,0.4171794124,0.417254581,0.3979878701,0.4072811112,0.3930177217,0.4030943277,0.3805136929,0.3971541448,0.3792829431,0.4099085097,0.382537234,0.409918279,0.3679018523,0.382446028,0.4009593222,0.4158070348,0.3783759028,0.4039161895,0.4007955644,0.4100338054,0.3949194828,0.3855847375,0.3830034201,0.3933429002,0.3872078195,0.3776267702,0.4124125566,0.3799136029,0.4138198675,0.3908546022,0.4026087418,0.4175053191,0.3905149229,0.4063958005,0.3937587574,0.3975244274,0.4058838072,0.3934207406,0.3892724022,0.402524924,0.3932369422,0.3988506335,0.0117249248,0.0001374739,0.400256472,0.3679018523,0.4219770177
6,0.4098764231,0.4013404191,0.4056763548,0.4003760621,0.3985487604,0.3976280331,0.3966351418,0.3787986941,0.4168717811,0.4180780176,0.404714176,0.3871320561,0.3823925041,0.3901977824,0.3888668099,0.3859028186,0.4034587834,0.3951552514,0.3791364058,0.3894295706,0.3960382236,0.4019583236,0.3976145842,0.4059181575,0.3982466495,0.4101837791,0.3779102335,0.3945089085,0.3895976719,0.3963885969,0.3892775999,0.4228339461,0.3991530626,0.396663619,0.3945339536,0.3895574995,0.4097470133,0.4069131732,0.3976389129,0.4164011071,0.4068692226,0.3920645782,0.3845600077,0.384979825,0.3929791244,0.4082671052,0.4124398245,0.4061881507,0.4031827515,0.3969838002,0.3962765095,0.4034111039,0.3947943779,0.402460818,0.4016147535,0.385287364,0.3917373768,0.3966351418,0.3865135637,0.4055954094,0.3819054141,0.3914257082,0.3988395306,0.4019076376,0.3994685787,0.3891899633,0.3945339536,0.3840582803,0.4035061127,0.3901908869,0.3848824251,0.4022604638,0.4224780203,0.3851566062,0.4015343739,0.4175216978,0.3846672908,0.4137471744,0.3982446541,0.4044294037,0.3985076657,0.397868125,0.4027676417,0.3920054988,0.4028594638,0.408088735,0.401335246,0.4062956032,0.3963912129,0.4112710041,0.4169868893,0.3956966137,0.3913520454,0.3788053629,0.3990803888,0.3892166272,0.4044310841,0.4106156003,0.4062706839,0.4036881129,0.3983762345,0.0100656505,0.0001013173,0.3982456518,0.3779102335,0.4228339461
7,0.392449647,0.4079614597,0.392933823,0.4162603058,0.3959774205,0.4057566132,0.3835167588,0.4104587344,0.4019111923,0.4120359958,0.3883007313,0.408993088,0.3945176953,0.3910186098,0.4011581917,0.3932929724,0.398246173,0.396948962,0.4058328469,0.4007644023,0.4107414995,0.3976299941,0.3946081888,0.4046748677,0.3899039783,0.4050809124,0.398172189,0.4006077523,0.4008792803,0.4185680833,0.3910660707,0.3933347558,0.4015975789,0.4085866779,0.4033029278,0.4202320636,0.4022360754,0.3858711199,0.3932062279,0.4022196385,0.4008401966,0.3987480876,0.4118796252,0.3925610014,0.4007937586,0.4036288145,0.3930102684,0.389529653,0.3896149787,0.3891172755,0.4109031906,0.3940281101,0.3971975611,0.3879980498,0.4066666719,0.4054791115,0.4005498591,0.3995479587,0.4050865553,0.4119043737,0.4020807423,0.3981677779,0.402386343,0.3874283941,0.4047027144,0.3982300764,0.4045139832,0.3869159768,0.3965489191,0.4071093814,0.3971434226,0.3978471874,0.3973274126,0.3925775424,0.3875113059,0.3928390613,0.4050388643,0.3997277044,0.4045654083,0.3907635919,0.3980982333,0.3844947325,0.395802695,0.4112186186,0.3987100768,0.3925752177,0.401985336,0.3988029898,0.4158062588,0.4020359371,0.412099155,0.4079928615,0.4053125326,0.3929708883,0.3994502891,0.3919992257,0.3911038455,0.4021629582,0.4074605088,0.4049878615,0.3997843664,0.0079055717,6.249806446952954e-05,0.3996378316,0.3835167588,0.4202320636
8,0.3959298832,0.3807373173,0.4083059653,0.4051021256,0.404184183,0.3924266285,0.3991043697,0.3951666915,0.3986783195,0.392478172,0.4126687723,0.404712301,0.395723851,0.4026510866,0.3877848927,0.3970601719,0.4060232373,0.4058926243,0.4122471187,0.3901475106,0.4161687978,0.3991929674,0.3928543742,0.406085989,0.3924496593,0.3985449372,0.4071825858,0.4028861646,0.4112415542,0.3997439796,0.3993639587,0.387902126,0.3980245523,0.4031933585,0.3988475083,0.4005820786,0.3883285656,0.4112140483,0.3918318901,0.3864131255,0.3916317687,0.4082063435,0.3961000965,0.3868025265,0.3953711232,0.3831828932,0.4037314194,0.3963194656,0.4065054399,0.4049764705,0.4073077801,0.4035973731,0.4026549557,0.4081133633,0.4037636753,0.3991674182,0.4003698457,0.400674229,0.3911358177,0.4016454189,0.4176887891,0.4003757987,0.3925209083,0.3970597517,0.3916988496,0.3943618678,0.3911167287,0.3949932939,0.3928107376,0.3965661336,0.4051888194,0.4079233582,0.4171218361,0.3946853547,0.3921292479,0.3870112805,0.3945393127,0.4058654758,0.4010042542,0.3853108298,0.4083865895,0.3966195307,0.398938355,0.4028744611,0.407154677,0.3898309926,0.4011793265,0.40564037,0.4044193393,0.3907572563,0.3971848047,0.4013223877,0.3904967096,0.3966894174,0.4004528258,0.4015296515,0.3967530913,0.4066272298,0.3920870512,0.3975239786,0.3991677554,0.0075724131,5.734144077051375e-05,0.399135894,0.3807373173,0.4176887891
9,0.4036830934,0.4009222124,0.402696782,0.3991402906,0.4069357859,0.4013179401,0.4076612732,0.4014203724,0.3997214986,0.4000173552,0.4008825572,0.3954511659,0.4102941928,0.3943002912,0.393403338,0.3994376332,0.403477789,0.3971749385,0.3960721411,0.4080066427,0.4019073883,0.3960457341,0.4105162494,0.4015753899,0.401466958,0.3994791592,0.4091088538,0.4008137195,0.4059370044,0.3975892526,0.3985654329,0.393025016,0.4001512762,0.4003567369,0.3999380611,0.4014119827,0.3913649132,0.4037084012,0.3986850336,0.4007395172,0.4125199624,0.3919938401,0.4067479343,0.402641495,0.4142164044,0.3943194873,0.3978618542,0.400921335,0.3998252337,0.3993974369,0.4054249197,0.4048085639,0.3894842084,0.3878456691,0.4084512941,0.4034684697,0.4047822383,0.3891309413,0.4034991649,0.4030423884,0.3948816242,0.4036035386,0.4031828213,0.3989979704,0.3869638597,0.3906511773,0.4062862185,0.3926196084,0.3932125092,0.3987194561,0.4077317425,0.3994657345,0.4029859355,0.3997880798,0.4086782406,0.4033469281,0.3983724285,0.3918704705,0.3907161061,0.3953999253,0.4030543608,0.3978037823,0.4028392572,0.3962223339,0.4018463202,0.4031828191,0.394314668,0.4136538301,0.3907730335,0.4035465128,0.4055537272,0.4063507941,0.4023563874,0.3919048209,0.4067589557,0.4010203035,0.4001910098,0.4003292692,0.4077670997,0.3982109888,0.4004994086,0.0057602842,3.318087426967022e-05,0.4008481383,0.3869638597,0.4142164044
10,0.3909995749,0.4021809587,0.4000202099,0.3966316715,0.4032596726,0.3991949054,0.4034128236,0.3999016089,0.392962302,0.3941441591,0.4071919174,0.4081746842,0.4027085553,0.3994650011,0.3966580959,0.4046536082,0.4071591538,0.3972616953,0.3978763833,0.3859836789,0.3983136533,0.406569142,0.3943190217,0.4060416071,0.4032778732,0.4016332682,0.3928852123,0.3959462782,0.403095164,0.3979706686,0.3983605368,0.4015800418,0.4032856999,0.3968425556,0.3951939703,0.4056456739,0.39441365,0.3977624681,0.4018339295,0.3984141711,0.4109677407,0.395493948,0.3995988644,0.4011214656,0.3948325736,0.3954429394,0.3952085116,0.4006607809,0.3996061942,0.3937301327,0.397914818,0.4023348083,0.408087681,0.3988219772,0.4085234668,0.3949976013,0.3926810693,0.3979365361,0.4036903949,0.4031811151,0.4029857681,0.4089343927,0.4065164816,0.4102385224,0.3984105762,0.3977841326,0.3994904611,0.4028621025,0.3930567215,0.4075191785,0.4011879216,0.4029137396,0.4000776665,0.4018993491,0.4016052551,0.4012615703,0.3980373679,0.3964411029,0.4006772259,0.4105145935,0.399552795,0.3957524175,0.3990325532,0.3976328144,0.4013309691,0.3909773833,0.3904049393,0.3975243091,0.4008162948,0.4028236471,0.4027314467,0.3958535215,0.4042607456,0.4035890718,0.3892036435,0.4040765257,0.3954600642,0.4021678558,0.3996696858,0.4009606045,0.3999429328,0.0049177721,2.4184482641276463e-05,0.3997856473,0.3859836789,0.4109677407
11,0.4002464228,0.4012838511,0.3959630673,0.3992782935,0.3934782007,0.3935259555,0.4003599064,0.3954332884,0.400361674,0.4038037002,0.4068403319,0.3938931743,0.404363087,0.3906947103,0.4032021588,0.3986343395,0.3901093757,0.3948091993,0.4061819132,0.4043186515,0.4046499286,0.3943164846,0.4050611658,0.4039116479,0.3944025309,0.4012086934,0.3958385741,0.4015467094,0.4006351052,0.3995825598,0.3960071506,0.3945404733,0.4037734006,0.4085730728,0.3944061707,0.3990191066,0.4016976905,0.3960896448,0.3985928197,0.3998427369,0.3998742717,0.3921194435,0.4020686268,0.3972153925,0.3912648675,0.4008917117,0.4032713324,0.3982406575,0.3975527847,0.4001319388,0.4000310776,0.4019034777,0.396291757,0.3970179586,0.4005003704,0.3952327343,0.4002820056,0.3987725896,0.3904288856,0.4004850128,0.4026540515,0.3978855255,0.3932186142,0.3930583808,0.392686705,0.4011505443,0.3985054906,0.4071413952,0.3895242256,0.398107296,0.3958312028,0.3940666433,0.4057223683,0.3998523991,0.3986061213,0.3983224724,0.3998820141,0.4008897733,0.4046275869,0.3971860967,0.3955013178,0.4014008307,0.3979313059,0.39781309,0.3985581201,0.3941490567,0.4061690254,0.4072746204,0.3997942356,0.3982519291,0.3896086082,0.4054429982,0.4053156096,0.3982787771,0.4003920992,0.3931425147,0.3981136067,0.4010218672,0.4061748831,0.403280694,0.3990058796,0.0044372211,1.9688931229338204e-05,0.3991487,0.3895242256,0.4085730728
12,0.3988731927,0.3948360723,0.3991166005,0.4055332374,0.3980688761,0.3987373773,0.3943835814,0.4022719088,0.4063636115,0.4048899027,0.3947544562,0.4026409672,0.3948424985,0.4049797255,0.4008772688,0.3885364478,0.4036885312,0.4025007914,0.3961597587,0.4024238942,0.3944559782,0.402080794,0.4029987433,0.4064947938,0.3943963989,0.3969908002,0.4008706825,0.3980991797,0.3998604915,0.3940848917,0.4029824984,0.398737944,0.4001950664,0.4045777066,0.39810704,0.3932025661,0.3974902933,0.3971638326,0.3964929588,0.3965594137,0.4036209849,0.396345546,0.3982486027,0.3984183485,0.4038396038,0.3958452481,0.3978962749,0.3904732628,0.396781143,0.3941318335,0.397665171,0.3992749886,0.4032031678,0.3900950615,0.4036299466,0.3964400587,0.3958686106,0.4050339784,0.3996563468,0.4027738549,0.3968403761,0.3983977926,0.3947572713,0.397350678,0.3959632821,0.4026169285,0.3966197966,0.401804504,0.4028026953,0.3940442487,0.3981365799,0.4014344926,0.4024670197,0.4037295615,0.4032773293,0.4002287082,0.4005264774,0.3971495915,0.4025007914,0.3949236253,0.3904542058,0.3990352571,0.4028584787,0.4010350387,0.4007926809,0.3951170263,0.3989468522,0.4004850878,0.3950116217,0.4013330907,0.4004320425,0.3989374716,0.4020396365,0.3948080981,0.4008208667,0.3997559775,0.4040885673,0.4037632515,0.3961485272,0.3966905198,0.3990768886,0.0038506513,1.482751515458233e-05,0.3989421619,0.3885364478,0.4064947938
