No Workers,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,Mean,Stdev,Variance,Median,Min,Max
3,0.4408073042,0.4204304796,0.4515416859,0.4190871142,0.4668280045,0.4176041048,0.4213345866,0.4188618164,0.446046812,0.4540840484,0.4401690936,0.421011446,0.4516542942,0.446046812,0.4308284912,0.419928007,0.4455247536,0.4324094191,0.4336029255,0.447687214,0.4172661556,0.4611078193,0.4318676852,0.4461292427,0.4438448797,0.3898853972,0.4815277981,0.4281957322,0.431591159,0.4235326714,0.451216693,0.4484287313,0.4139856166,0.4454430266,0.4275911928,0.4493264151,0.4254883542,0.4323269315,0.4219074895,0.4379147849,0.4386276707,0.3923412591,0.4129649356,0.4429602465,0.4158148304,0.4387520423,0.4371392609,0.4262023073,0.4460914024,0.4461292427,0.4145314596,0.4237981026,0.4133614765,0.4480265173,0.4366843233,0.4572765394,0.4266070879,0.4404679957,0.4165871644,0.4432864871,0.4464858024,0.4457734248,0.4322119869,0.4580338215,0.4461028211,0.4264895259,0.4290753534,0.4686927629,0.4197574003,0.4453768871,0.4170695155,0.4143918507,0.4173624051,0.4560030127,0.4282042826,0.4426330124,0.4308150635,0.4354470578,0.4280915105,0.4219074895,0.4294281103,0.4154483553,0.427521502,0.4082520113,0.4360376056,0.4248875413,0.4649197406,0.4147610361,0.432503978,0.4047389692,0.4486784416,0.4483734855,0.4199969733,0.4307197059,0.4521747161,0.408983405,0.4083849823,0.4170039174,0.4285206227,0.4512468537,0.4333422348,0.0165363385,0.0002734505,0.4320398361,0.3898853972,0.4815277981
4,0.4258382676,0.4465244114,0.437814935,0.4398671875,0.4181896026,0.4362914536,0.4410350171,0.420198649,0.4454215527,0.4412821204,0.419965403,0.4290980473,0.4462824523,0.4241075058,0.4277913738,0.4257422421,0.4331622141,0.4357126073,0.4377422631,0.4266632929,0.4487669923,0.4245432536,0.4077013521,0.4370235121,0.4327707705,0.4423311513,0.4324180068,0.4462498268,0.4343557146,0.4295842883,0.4549970079,0.4144743955,0.4367923433,0.4209144418,0.4305309554,0.4578511493,0.4333270106,0.4451785684,0.4382356486,0.4439177334,0.4178283649,0.4100539968,0.4336488955,0.4223862315,0.4160840878,0.4398452206,0.4306791016,0.4386251522,0.4133909941,0.4164482235,0.4406690956,0.4250749008,0.4280427325,0.4493388653,0.4388788999,0.4417324149,0.4329470881,0.4359792101,0.4401350828,0.4247868901,0.4309977152,0.4281550917,0.4475546773,0.414327694,0.4403744404,0.4364352185,0.4694294647,0.4282144916,0.4242463992,0.4192478694,0.4464037649,0.4369908457,0.4070663496,0.4341580901,0.4248971485,0.4580716857,0.4394259722,0.4313334815,0.4179568469,0.4655282469,0.4090715497,0.4399808399,0.440598255,0.4379226777,0.4423385467,0.4401272676,0.3985502832,0.4456297373,0.4243508023,0.446132687,0.410582382,0.4482104782,0.4353359154,0.4413150262,0.4460667459,0.4339032052,0.4444001142,0.446304223,0.4198194848,0.4255488857,0.4334427477,0.0128623935,0.0001654412,0.434845815,0.3985502832,0.4694294647
5,0.4213532464,0.4273881098,0.4396645708,0.4234893523,0.4487100939,0.4391294733,0.440265928,0.4164549603,0.4210969529,0.4394304005,0.4344034851,0.4306209063,0.431345883,0.4490600449,0.4460703652,0.422094155,0.4413830328,0.4514870932,0.4414879553,0.4399159824,0.4304042649,0.4080177456,0.4166634209,0.4067065882,0.4323729652,0.4202675804,0.4178374994,0.4249988021,0.4296217996,0.4217131478,0.4168033701,0.4494725501,0.4251177747,0.4372260131,0.435541639,0.4144557266,0.4251359428,0.4351634528,0.431850152,0.4322511855,0.4215573461,0.4528137057,0.429256944,0.4381913869,0.4215761773,0.4431815026,0.4675811168,0.4322712804,0.4289033982,0.438252789,0.4350015199,0.4202669275,0.4229817279,0.4386549766,0.4259343138,0.447344381,0.4428609179,0.4178374994,0.4281693865,0.4369496159,0.4350697155,0.4312402907,0.4355672876,0.411198092,0.4215789488,0.4234315206,0.4450383464,0.4379271872,0.4225791444,0.436120002,0.4182325361,0.4262632845,0.4055163584,0.4265622024,0.4136595233,0.4544551825,0.4424217163,0.4551674855,0.4116957807,0.4352907513,0.4284222721,0.4510354701,0.4249307479,0.4300561685,0.4500467186,0.4331643603,0.4549954995,0.4474666726,0.4333725391,0.4391070493,0.4264313648,0.4338336968,0.444099723,0.448751485,0.4372965619,0.4393380617,0.4160256232,0.4410806294,0.4360563788,0.4444960719,0.4325508298,0.0121791107,0.0001483307,0.4327686627,0.4055163584,0.4675811168
6,0.4284367751,0.4291132205,0.4341675517,0.4382475744,0.4202116315,0.4339589147,0.4299158214,0.4415113982,0.4379975942,0.4204755219,0.4354017384,0.4245914677,0.4272375069,0.4224470817,0.4457729746,0.4351430544,0.4198119074,0.4511395789,0.4478485923,0.4176411658,0.4251731773,0.4219485589,0.4306993514,0.4317579267,0.4231863286,0.4068798717,0.4380524283,0.4259913228,0.422062567,0.4258804864,0.4246141491,0.4359847118,0.4289107423,0.4380652346,0.4212344383,0.4215412157,0.434722602,0.4303982048,0.4109027278,0.4248639993,0.4289460444,0.4237324235,0.4217524905,0.4295836686,0.4245318743,0.4146726184,0.4175894606,0.4305899761,0.4258765432,0.4431221145,0.418508957,0.4174676827,0.4207274539,0.4455665784,0.4485347802,0.4297603529,0.4383512425,0.4358051869,0.4392260558,0.4442856308,0.4225590833,0.4473214882,0.4227809834,0.4222789897,0.4450732105,0.4310965786,0.4260776117,0.4338985246,0.4460693815,0.4318275092,0.4274116147,0.423336933,0.4236080236,0.4314488997,0.4378560097,0.4220597169,0.4273017038,0.4214211089,0.4625982814,0.4324001895,0.424748639,0.4246469367,0.42590208,0.4303802367,0.4330540693,0.4306340426,0.4352595749,0.4466593355,0.4150066504,0.4457630346,0.4327998897,0.4279305374,0.4293314417,0.4349116358,0.4132523153,0.4238980438,0.4074355345,0.4396807715,0.4355310856,0.4409480594,0.4299877201,0.0099644236,9.928973722354814e-05,0.4292223311,0.4068798717,0.4625982814
7,0.425465541,0.4289412537,0.4135049864,0.4354599045,0.4402726414,0.4222957065,0.4280918462,0.4322070034,0.4381908934,0.4363060328,0.4272130498,0.4394708948,0.4295322411,0.4210785025,0.4296529512,0.4426538475,0.4320577744,0.4289412537,0.4254507034,0.4451956036,0.4275756806,0.4285990433,0.4254536693,0.4321379867,0.4462134633,0.4384722978,0.4135123997,0.4384436631,0.4424485811,0.4385312864,0.4149577976,0.4277813315,0.4426733305,0.4272689502,0.4391677783,0.4380746221,0.4336295395,0.4222441623,0.438521042,0.4418091173,0.436246506,0.4279341128,0.4208492266,0.4350058052,0.4339179495,0.4368199922,0.4371092904,0.4268863476,0.4285080188,0.434961803,0.4348171135,0.4303660898,0.4330008462,0.4326096874,0.4329896292,0.4474560995,0.4257888788,0.4370865894,0.434397895,0.4334613194,0.4299966133,0.4331124164,0.4294212912,0.4265820563,0.4398736717,0.4228704669,0.4320757252,0.4292883086,0.4338292487,0.4443258152,0.429323051,0.4443201393,0.4290744018,0.4291695431,0.4374825022,0.4256741788,0.4352310116,0.4217581722,0.4162267771,0.4399407801,0.4309373636,0.4396587449,0.4365374188,0.4442684056,0.4276370354,0.4167909473,0.4254104109,0.4206182092,0.4236954263,0.4312986196,0.4205250861,0.4341532885,0.4418617831,0.4203325177,0.4286913674,0.4198760866,0.4368813071,0.425891392,0.4288584276,0.4307634055,0.4315397499,0.0076076481,5.787630999953343e-05,0.431678197,0.4135049864,0.4474560995
8,0.4336475528,0.4442479609,0.4279250382,0.4302794534,0.4270237888,0.438704583,0.4446228153,0.4480892487,0.4316574748,0.4186357429,0.428612973,0.4269632278,0.4393625208,0.4388225314,0.4365179623,0.4347873488,0.444782765,0.4285187643,0.4265086768,0.4300670372,0.4276233158,0.4365141822,0.4262318015,0.4323316958,0.4334637493,0.4490990046,0.433581453,0.429901165,0.4261163784,0.4294707385,0.43604062,0.4206805556,0.4301121689,0.4250310207,0.4329719175,0.4324296297,0.4294781245,0.4383954926,0.4459576293,0.4271035584,0.4320468453,0.438053998,0.4186323734,0.4332800983,0.4209049858,0.4305299087,0.4322185419,0.4353490232,0.4440566878,0.4300713656,0.4271035584,0.4423242285,0.4240680472,0.4397090402,0.4350828424,0.4271379433,0.4261703607,0.4132022898,0.4234008411,0.4245860891,0.4348839925,0.450896445,0.4356043144,0.4075763978,0.4199615391,0.4287840777,0.4428043377,0.4318058071,0.4376131811,0.4310995918,0.4266396111,0.4354875455,0.4417924846,0.4224590685,0.4328544862,0.4391326909,0.4318678891,0.4412299043,0.4346261304,0.4273196689,0.4387375173,0.4312307319,0.4331213781,0.4269038838,0.4362635826,0.4415781839,0.4400804542,0.4286121177,0.4324336273,0.4394079033,0.4215741397,0.4260928958,0.4119138378,0.4373673372,0.4277123332,0.4335594025,0.4347809477,0.4284386117,0.4266830388,0.4344099774,0.432055818,0.0078087258,6.0976198800631095e-05,0.4321326936,0.4075763978,0.450896445
9,0.4419161449,0.433522316,0.4273090772,0.4418411545,0.4315267533,0.4316425536,0.4326290083,0.4304087875,0.4239082807,0.4316472229,0.4208986766,0.4304061246,0.4238563853,0.4230378744,0.4261070909,0.4364653562,0.4314472503,0.4482229175,0.4283795838,0.4323244097,0.4382111618,0.4356615222,0.4254325109,0.4313196167,0.4366406028,0.4183899302,0.4302631363,0.4288667022,0.4264595811,0.4317960596,0.4360609125,0.4377491208,0.4296992208,0.4271406243,0.427255529,0.4229198799,0.4381044419,0.4173717823,0.4372789933,0.4287782026,0.4390765696,0.4401854526,0.4306219326,0.4383039042,0.4421852559,0.4319480397,0.4322581038,0.4462942937,0.4311815788,0.4292576654,0.430489139,0.4477135757,0.4292386036,0.4271235914,0.4293707275,0.4223695561,0.4367952342,0.4299175118,0.439544926,0.4414509853,0.4303563892,0.4197979849,0.4337958411,0.4246740132,0.4310482099,0.4293577524,0.4189579383,0.435478109,0.430744823,0.4245713882,0.4344877805,0.4360776367,0.4232582084,0.4276344456,0.4320606563,0.4330887258,0.4194796531,0.4409198932,0.4322154212,0.4329575384,0.4348101938,0.440293529,0.4328075242,0.4254332663,0.4311742097,0.4281124715,0.4404678201,0.4242944979,0.4351398102,0.4309237327,0.4405209834,0.4287237624,0.4190445151,0.4374989684,0.4180171516,0.4374153133,0.4267769005,0.4356945967,0.4383676125,0.4288718873,0.431535743,0.006671433,4.450801821983305e-05,0.4312505978,0.4173717823,0.4482229175
10,0.4303082502,0.4403602486,0.4160730306,0.4354039327,0.4306925001,0.4319168144,0.4292118841,0.4273675027,0.4364989446,0.4344801131,0.4285132579,0.4273036063,0.4294775618,0.4369757028,0.4353045663,0.429080197,0.4343056873,0.4284552099,0.4394880569,0.4336943585,0.4286978354,0.4280294945,0.4291612986,0.4301606494,0.4293057666,0.4317066475,0.4315287041,0.4298285461,0.4306746102,0.4294392216,0.4356548311,0.4382477483,0.4292139936,0.4297400407,0.4378056579,0.4272375104,0.4225335347,0.4325000875,0.4384098935,0.424432614,0.4335768784,0.425870987,0.4326836794,0.4266687313,0.421322152,0.4215429613,0.4352245661,0.4292186692,0.4330693835,0.4416271477,0.4373839343,0.4327686795,0.4388966429,0.4304676921,0.427797546,0.4312903942,0.4299427771,0.4433312014,0.4268198834,0.4335877197,0.4254333294,0.4315995694,0.4301177716,0.4332477012,0.4304087195,0.4297079808,0.4342356747,0.4259610699,0.4300941609,0.4428890669,0.4249924311,0.4244676134,0.4244805097,0.4352147311,0.4305939055,0.4361464336,0.4309188777,0.4225378113,0.431374752,0.4173058127,0.4335857183,0.4288515399,0.4270046355,0.4296641274,0.4289127521,0.4280424992,0.4317352116,0.4411716386,0.4253066544,0.4375809579,0.4375292089,0.4363152363,0.4380251531,0.4358215939,0.4275947945,0.4317066531,0.4330918101,0.4337994192,0.4266137865,0.4420109398,0.4312840399,0.0052592669,2.765988794655116e-05,0.4306342578,0.4160730306,0.4433312014
11,0.4319635469,0.4340271957,0.4280087781,0.4223558409,0.4342528431,0.4321748184,0.4355660806,0.4304633845,0.4298981979,0.4311260417,0.4233102873,0.4246334452,0.4360255681,0.4349409589,0.4247553583,0.4410670346,0.4354498875,0.4327749273,0.4380978467,0.439988633,0.4331620388,0.4397394006,0.4349769636,0.4315735206,0.4350537365,0.4226607476,0.429686937,0.4312115793,0.4222175386,0.434587193,0.4250763912,0.4282989579,0.4287411038,0.433272035,0.4349598929,0.4322503665,0.4315349506,0.432829697,0.4326756039,0.4314743801,0.4383274379,0.4263978415,0.4317186645,0.4266337241,0.4261038331,0.4307863293,0.4296554908,0.4337192174,0.4310263372,0.4270921853,0.4353264984,0.425052361,0.4247529394,0.427802429,0.4387150166,0.4310582363,0.436786984,0.4239461797,0.4280911889,0.4372722988,0.4251358838,0.4273745813,0.4245422306,0.4325962089,0.4229444225,0.4263956354,0.4315923821,0.432792371,0.4269376627,0.435151731,0.4357686471,0.4332506606,0.4358892097,0.4326013419,0.4370020395,0.4385968883,0.4317652766,0.4272000965,0.4220217709,0.4335554966,0.437157151,0.4312182725,0.4413559741,0.4306278178,0.4360116195,0.4265675949,0.434213064,0.4367938415,0.4258821583,0.4314759525,0.4324311406,0.4301584176,0.4399970069,0.4312624862,0.4295471746,0.4334423655,0.4407782673,0.4306492913,0.4331541019,0.4333693374,0.4315633647,0.0047601473,2.265900226498462e-05,0.4317419705,0.4220217709,0.4413559741
12,0.4306265298,0.4338371453,0.4355840769,0.4346397992,0.4352030172,0.424709413,0.4273316478,0.4389203338,0.4337170439,0.429834743,0.4365870203,0.4309558795,0.4301262199,0.4294089187,0.4290712344,0.4357101575,0.4311269759,0.4262707954,0.4290013975,0.4312727808,0.4286688354,0.4293130553,0.4403371743,0.4289603123,0.4379707011,0.4356645535,0.4297418067,0.4272342995,0.4306798864,0.4351639465,0.4353001956,0.4310974879,0.4389060899,0.4287742459,0.4305907902,0.4379486798,0.4353434416,0.4293400624,0.4365320905,0.4408427971,0.429082925,0.4338932462,0.4275246226,0.434184259,0.4400576728,0.4324628061,0.4329517329,0.4289636163,0.4290565853,0.4334326075,0.4326729211,0.4319143678,0.4316093381,0.4286025464,0.4304750785,0.4306665654,0.4360286272,0.430305809,0.434135777,0.4367318824,0.4360991698,0.4342324777,0.4301143212,0.432463078,0.4229742211,0.4272155458,0.4311670536,0.4332325338,0.4346694112,0.4320978513,0.4257510325,0.4241473448,0.4361985674,0.4294207063,0.4349824209,0.426018528,0.431953641,0.4336483341,0.4345058095,0.4316637015,0.4314527938,0.4349768097,0.4271034649,0.4398178269,0.4278710722,0.4274257035,0.4311251224,0.4317474909,0.4302280175,0.4275895457,0.4248044608,0.428852476,0.4384976503,0.4333841574,0.4326766428,0.4375275161,0.4292286002,0.4336251378,0.4271465508,0.4298081235,0.4319454348,0.0039023136,1.522805106143666e-05,0.4315310659,0.4229742211,0.4408427971
