No Workers,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,Mean,Stdev,Variance,Median,Min,Max
3,0.4153582661,0.4428640566,0.4130346279,0.4179321898,0.4365101195,0.4355358245,0.4258778027,0.4362462782,0.413569097,0.4363302794,0.4348205462,0.4295327166,0.4105632352,0.4491462587,0.447403033,0.4405560842,0.4468646654,0.4195734915,0.4012152814,0.4584005484,0.4325833437,0.4476560273,0.4532721146,0.3933392447,0.4481511229,0.453711345,0.4235103131,0.4238499476,0.4400688848,0.3891401721,0.4433647308,0.4294237426,0.449563875,0.4111448835,0.472979513,0.4528178686,0.4497524225,0.4549898861,0.4253401761,0.4239832244,0.4366193187,0.4439570569,0.4123240534,0.4536201597,0.455690042,0.4526738479,0.441752503,0.4543505917,0.4338376386,0.4544486791,0.4276634737,0.4514105926,0.4501792714,0.4377656287,0.4296330181,0.3949348944,0.4176674009,0.4405560842,0.4354509999,0.4625061047,0.4169914461,0.4602667997,0.4156426345,0.4625805562,0.4244051034,0.4537483452,0.4426271602,0.4230106449,0.4445199473,0.4084414252,0.4668506876,0.4194095438,0.4119643113,0.4109067547,0.4269428689,0.4134353777,0.409195157,0.433124279,0.4239811222,0.4095821778,0.4256916996,0.4376041929,0.4252288536,0.4469582509,0.4744065503,0.4202340458,0.4345229897,0.4222996479,0.4298270228,0.4373305796,0.4395473789,0.4451542533,0.4330451284,0.4434479181,0.4541984332,0.4546181089,0.409901623,0.439941815,0.4508590854,0.4145874883,0.4343405001,0.0178822307,0.0003197742,0.4358910514,0.3891401721,0.4744065503
4,0.4448204068,0.4299331295,0.4511520427,0.4402900286,0.4484197532,0.4528560924,0.4387603252,0.4593096598,0.4392648944,0.4376916176,0.4168923611,0.4235661314,0.4466077944,0.4409364993,0.44889326,0.4411913879,0.4566197549,0.4398184289,0.4414642709,0.4430396593,0.4479008359,0.4164618557,0.4386333782,0.4116563784,0.4267065808,0.4130737125,0.4365957997,0.4501293909,0.430432312,0.447623695,0.4241390577,0.4409712406,0.4363303496,0.4430649734,0.4185107478,0.4283951495,0.4418709177,0.429609999,0.4310119582,0.4452868963,0.4297109889,0.4327121026,0.4505582465,0.4482824229,0.4464957554,0.4332147764,0.4323987502,0.4284572745,0.4342253139,0.4483123368,0.4034585533,0.4268529054,0.4394448822,0.4445301993,0.4331096589,0.4274561252,0.426645948,0.4128932366,0.4331664847,0.4384491544,0.4445258738,0.4551279702,0.4360341797,0.4217426064,0.4301036278,0.4648117195,0.4492525685,0.4251190397,0.4493814282,0.4363575675,0.4462945687,0.440341797,0.4460325554,0.4552775626,0.4445306413,0.4397603532,0.4461461767,0.4238185746,0.4576096543,0.4179739716,0.4390390711,0.4326332575,0.4208834866,0.4441645989,0.433253314,0.4342641946,0.4403881223,0.4539654379,0.458359848,0.4323824336,0.4427752798,0.453203352,0.4653954284,0.4395845969,0.4325199885,0.4453088102,0.4243989157,0.4195601054,0.4496358881,0.4571024886,0.438193689,0.0123344421,0.0001521385,0.4395147395,0.4034585533,0.4653954284
5,0.4353640494,0.4540921862,0.4355610948,0.4052757712,0.4325593484,0.4471994692,0.4527577611,0.4052580222,0.4432554946,0.4421749334,0.4283316445,0.4325352066,0.4464272868,0.4199678924,0.43100453,0.4307506073,0.4282330911,0.4356858529,0.4165065936,0.4267166876,0.4340416392,0.4286252213,0.4304565507,0.4286214375,0.4297103739,0.4651982995,0.4400449223,0.4367388438,0.4113984149,0.4160040829,0.4617524366,0.4493062919,0.4278079262,0.4359851736,0.4435242307,0.4438061931,0.4444190404,0.4348722844,0.450843211,0.4386318703,0.441574413,0.4458149012,0.4265678622,0.4491526124,0.4268630421,0.4184092852,0.4544966381,0.4382120088,0.4480294792,0.4234073304,0.4340134472,0.4288391477,0.4427008871,0.4416241314,0.4527689189,0.4416891911,0.421166725,0.4406424434,0.4297217961,0.4392622758,0.4218256538,0.4367898092,0.438171355,0.4188087671,0.4234994411,0.4323187338,0.4468725224,0.4724222698,0.4554672688,0.4251061858,0.4339277744,0.4385621206,0.4540021444,0.4428180243,0.4536619169,0.4356319115,0.4322202074,0.4361874337,0.4244300903,0.4246312723,0.4424493554,0.4320908637,0.4286625643,0.4296339093,0.4448088749,0.4376557585,0.4223614771,0.4392594729,0.4321032064,0.4492969984,0.4434357724,0.436076052,0.4268415685,0.4405943413,0.4393953916,0.4376217224,0.4424444961,0.4380780332,0.4502136507,0.4419456856,0.436487266,0.0118628279,0.0001407267,0.4364631388,0.4052580222,0.4724222698
6,0.4305881489,0.4221331731,0.4358419826,0.4374896599,0.4301396435,0.4289025438,0.4297020616,0.4335778745,0.4232300252,0.427147527,0.4394450748,0.4337562451,0.4393280249,0.4308860073,0.426015784,0.4433094965,0.43612223,0.4304656843,0.4169005881,0.4435277462,0.4276503486,0.4191904479,0.4312858776,0.4284543786,0.4295879885,0.4330616256,0.4323640044,0.4517217855,0.4222329285,0.440852348,0.4233470675,0.4333353659,0.4243325486,0.4376224801,0.4375242841,0.4460714858,0.4325357017,0.4234499208,0.4383191459,0.4395583968,0.4285507832,0.4363090822,0.4144594207,0.4402839456,0.4286810029,0.4443654216,0.4171049928,0.4409908336,0.4429453732,0.4368368355,0.4257883777,0.4363090822,0.4421986817,0.4331128948,0.4335010828,0.4301653719,0.4275438124,0.4239269883,0.4343837227,0.4487272243,0.4427043855,0.4353347994,0.422150508,0.4455245412,0.4306214027,0.4373311991,0.4351772864,0.421123768,0.4220380237,0.4464106636,0.4186590227,0.4330469924,0.4211329428,0.4341629859,0.4405108366,0.4283178898,0.4490594568,0.4276741424,0.4339765342,0.433881342,0.4273143188,0.439288911,0.4384673563,0.4337369814,0.4257578403,0.4271135438,0.4325563238,0.440490835,0.4352476724,0.4305013785,0.4302319022,0.4257216337,0.4446415709,0.4380933879,0.4263045503,0.4409400004,0.4370203836,0.4325398245,0.4485516168,0.4302589169,0.4330081025,0.0079180679,6.269579941908037e-05,0.4330872602,0.4144594207,0.4517217855
7,0.4333565174,0.4261978389,0.4323855636,0.4355925957,0.4304666196,0.4440367699,0.4376259945,0.4384180726,0.4339266456,0.4247050803,0.4352790168,0.4286195436,0.4317551589,0.4361232015,0.4464091163,0.4384180726,0.449065198,0.4325798397,0.4388748919,0.4414210052,0.4260379855,0.4358805804,0.4459099909,0.4371999574,0.4442094439,0.4527840637,0.4408195869,0.4383148019,0.4338094904,0.4250500721,0.4336914235,0.4273562357,0.4348133728,0.4367359627,0.435383109,0.4376483435,0.4265027311,0.4371833966,0.4372363799,0.4414456535,0.4560757651,0.4295110352,0.4309676075,0.4329463873,0.4231961294,0.4399423353,0.4517250991,0.4345739436,0.4359559664,0.4399450638,0.4249809416,0.4212791392,0.4458925215,0.4233967106,0.4344205691,0.4300419191,0.4423239659,0.4239079513,0.4204462804,0.4471221895,0.4439680656,0.4219393208,0.4344423505,0.4399861807,0.4217655413,0.4321789118,0.4332984436,0.4187605136,0.4294269575,0.4398169147,0.4308109187,0.4224221587,0.4429142433,0.4378170104,0.443068078,0.4255024482,0.4319111568,0.4316255454,0.4162719609,0.4473032163,0.4367359627,0.4229829966,0.437032704,0.4415704246,0.4338553875,0.4354458419,0.4340085812,0.4327373053,0.4456038824,0.4296062791,0.4371898548,0.4344539851,0.4340105929,0.4222044512,0.4348885192,0.4214239306,0.4425803094,0.430628907,0.4242893892,0.4271795677,0.4343557965,0.0080369801,6.459304860416852e-05,0.4344481678,0.4162719609,0.4560757651
8,0.4348470193,0.4385575556,0.4328749137,0.4325419671,0.4252190172,0.4326179611,0.432724252,0.4316205394,0.434731492,0.4384421058,0.4280960042,0.4357344069,0.4492680156,0.4312943532,0.4293319145,0.4367786202,0.4370925911,0.4417149764,0.4236438395,0.4319553772,0.4463508765,0.4405500754,0.4378660444,0.4408831,0.4248883239,0.4298159421,0.4331218047,0.4372765794,0.4336093719,0.4291140572,0.440788505,0.4173889273,0.4328368626,0.4360284682,0.4500509185,0.4442043534,0.432033116,0.4511112488,0.4348108508,0.444683356,0.4323491353,0.4311372765,0.4415752032,0.4326208697,0.4460239722,0.4316585214,0.4435705796,0.4476678501,0.4318672867,0.4304650093,0.438413041,0.4454940819,0.4369802333,0.4454136643,0.4422434944,0.4373223365,0.433270672,0.4523948906,0.4179374483,0.4403923452,0.437504286,0.4301209212,0.4413915895,0.4406754798,0.4389362812,0.4340799587,0.4334126126,0.4325160837,0.4320776797,0.4514467783,0.448079521,0.4313997079,0.4343392202,0.4471306789,0.4384525365,0.4412807466,0.4405015252,0.4332237961,0.4315434893,0.4407420036,0.4420573573,0.4329349148,0.4338563495,0.4344904312,0.4328536505,0.4296482375,0.4301036469,0.4417247199,0.4271909251,0.4415864946,0.4456395622,0.4297614634,0.4404100004,0.425946606,0.4313340581,0.4435337433,0.426917509,0.4421267261,0.4327022373,0.4470980022,0.4364606915,0.0070713925,5.000459212746216e-05,0.4348289351,0.4173889273,0.4523948906
9,0.4340893536,0.4328238297,0.4409562417,0.4240475585,0.4370317178,0.4339904946,0.4326491397,0.430907084,0.4331448388,0.4395226869,0.436892174,0.4297930356,0.4471412626,0.4289541261,0.436732862,0.4331275367,0.4323804756,0.4378121185,0.434738126,0.4419105491,0.4472974609,0.4333035775,0.4295651679,0.4276231932,0.4435751292,0.4267729326,0.4346145291,0.4277480718,0.4388730755,0.4374388378,0.4374115789,0.4360263325,0.4446247999,0.4294191722,0.4372693415,0.4398913584,0.4337216344,0.424558323,0.4321477069,0.4191493329,0.4354548194,0.4296733893,0.4397988489,0.4369403842,0.439989893,0.4295818905,0.4379962488,0.4394742202,0.4350155105,0.4295980133,0.4439220131,0.4256746009,0.4437307411,0.4270188688,0.4314357682,0.4332261084,0.426314377,0.4389327813,0.4256642737,0.4321371642,0.4428910583,0.434708051,0.4425772258,0.4370521409,0.4245198126,0.4423941012,0.4375081581,0.4496539082,0.4408297787,0.4408693119,0.4339640648,0.4347785379,0.4398272128,0.4421608809,0.4277480718,0.4330151993,0.4350534421,0.4311991936,0.4262029836,0.4342270525,0.4374919694,0.4325072232,0.4491868932,0.4267473326,0.4402162941,0.4353214865,0.4389826163,0.4456755896,0.452347383,0.4289816981,0.4380991249,0.4401575729,0.443595873,0.4380096762,0.4399261095,0.4403106643,0.441399499,0.4391009246,0.4315804274,0.4402782401,0.4357235347,0.0063169822,3.9904264633868044e-05,0.435740576,0.4191493329,0.452347383
10,0.4339415752,0.4367583784,0.4256471291,0.428492209,0.4371244284,0.4354366011,0.4402837897,0.4342113284,0.4360543541,0.4398201028,0.4324429732,0.4436107372,0.4330416484,0.4363047821,0.4354554336,0.4357752414,0.4315170235,0.4285035725,0.4258812159,0.4336627609,0.4409517965,0.4329819061,0.4411836129,0.4336095073,0.436040091,0.4334063543,0.4287660176,0.43888152,0.4352988594,0.4387694006,0.4375380888,0.4353682775,0.4354716007,0.4221783182,0.4339876957,0.4341507428,0.4372374694,0.4286187359,0.4280649625,0.4343107662,0.4342070074,0.4419959936,0.443530553,0.4424709125,0.4417714061,0.4342643011,0.4422510316,0.434852557,0.4377880529,0.4358422691,0.4364962334,0.4301631902,0.4424574637,0.4313373197,0.4364010727,0.4324554315,0.4348240257,0.436076819,0.4287127769,0.438491191,0.4364387508,0.4304094066,0.4370016261,0.4375277755,0.4320519143,0.4375053008,0.4366946473,0.4343670292,0.43321616,0.4315163393,0.4407903241,0.4414684025,0.43238223,0.4436972822,0.4344703236,0.4256218832,0.4374237728,0.4236753306,0.4319813096,0.4388583107,0.4420647185,0.4363942817,0.4374185829,0.4373644549,0.4289047907,0.4435962572,0.4361773373,0.4270991349,0.4290174888,0.4309506974,0.4346492299,0.4310832847,0.4301816857,0.4384246602,0.4397930021,0.4340447123,0.4312206065,0.4383693158,0.4343829222,0.4400867243,0.4350549262,0.0046773284,2.1877401023539826e-05,0.4354024393,0.4221783182,0.4436972822
11,0.4320996016,0.4330707381,0.4430063148,0.4377883278,0.4307883366,0.4337187055,0.4442912996,0.4432144229,0.441066464,0.4398538169,0.4342776799,0.4345568961,0.4305897889,0.4312487299,0.4350740785,0.4321467454,0.4321275303,0.4313544814,0.4304371976,0.435995268,0.4375330073,0.4385683848,0.4422242837,0.4361128192,0.4348072587,0.4376938463,0.4334863144,0.4370037116,0.4337199675,0.4332626879,0.4416753459,0.4361800188,0.4338422828,0.4349972892,0.4428170666,0.4313944785,0.427594101,0.4400257712,0.4355306348,0.4352846853,0.4320151639,0.432331003,0.4426742734,0.4352195557,0.4373450714,0.4268049843,0.432387741,0.4328048683,0.4291262944,0.4370812664,0.4388161161,0.4377643199,0.4357603804,0.4315830655,0.4427571964,0.4334069339,0.4300064622,0.4376923472,0.4358034638,0.4340020701,0.4344494352,0.4419659376,0.4400527594,0.4350606592,0.432137875,0.4372204456,0.4378803424,0.438414642,0.4411957728,0.4333093808,0.4324402747,0.4339979073,0.4402766869,0.436449321,0.4349117248,0.4340594464,0.430138947,0.4365933533,0.4419557381,0.435077347,0.4423496942,0.4309928428,0.4274232616,0.4320784625,0.4375617498,0.4353778755,0.4382515625,0.4307151189,0.4352655101,0.4268865089,0.4293285926,0.4423182457,0.4321555738,0.4405318875,0.4397410044,0.4400349092,0.4296992428,0.4299930542,0.4288849599,0.4381539304,0.4354117494,0.0042403617,1.7980667402138638e-05,0.4350757127,0.4268049843,0.4442912996
12,0.4370239293,0.4307939011,0.4370549567,0.4421241171,0.4285410403,0.4384442355,0.4380542778,0.4339678231,0.438909018,0.4421612782,0.4367115518,0.4313409891,0.4337309464,0.4329056164,0.4344184365,0.438323524,0.4406590315,0.4285618004,0.4323804218,0.4381791813,0.4345505052,0.4452542821,0.4384065812,0.4456851865,0.4367361424,0.4324142156,0.435671031,0.4306332064,0.4338940625,0.4372687771,0.4388215007,0.4341291383,0.4368647241,0.4305787058,0.4316434273,0.4318047438,0.4368364976,0.4344436454,0.4320122279,0.4374907533,0.4330311162,0.433326294,0.4369423911,0.4323854089,0.4304442488,0.4374121657,0.4397997787,0.4420044274,0.4284909786,0.442295079,0.4340499275,0.4362952006,0.4336380989,0.444922127,0.4337140234,0.4331223333,0.4355648753,0.4306449411,0.4415128157,0.4384675591,0.4337766838,0.4373137918,0.4337969561,0.4312789247,0.4410293667,0.4360304331,0.4341356307,0.4390800905,0.4354648047,0.4358922581,0.4322690225,0.4424314373,0.4406195653,0.4353893589,0.4419963727,0.4293691618,0.435841791,0.4428564182,0.4368381348,0.4343785349,0.4320253835,0.4368209115,0.4354474592,0.4397636549,0.434849636,0.4369175552,0.4361360686,0.4300569886,0.4361044089,0.4361974276,0.4308030787,0.4289835001,0.4320569127,0.4373032649,0.4425317652,0.4353209101,0.441544994,0.4335609277,0.4270019649,0.4367581895,0.4357746296,0.0040615432,1.649613302647182e-05,0.435756411,0.4270019649,0.4456851865
