No Workers,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,Mean,Stdev,Variance,Median,Min,Max
3,0.5060354603,0.4303437564,0.487807799,0.5232755964,0.5254605098,0.4907258882,0.4983144351,0.5129639682,0.4783671505,0.5243537382,0.4903936587,0.5030656392,0.5166028903,0.4875310393,0.4608912606,0.4887477298,0.5314817114,0.4579875164,0.4828779311,0.5177180972,0.5077281366,0.4899913877,0.4862797999,0.4852237276,0.450578146,0.4884681577,0.5136746639,0.4739390656,0.5061734308,0.4682266735,0.5330471603,0.4607353643,0.4587594015,0.4716410731,0.4745544049,0.4706115351,0.5543511434,0.4767609842,0.5190245576,0.4777774148,0.5194749814,0.4850646216,0.4960819576,0.5111979552,0.4939804584,0.4644384182,0.552872941,0.4635623276,0.4701495312,0.5102671911,0.5226041598,0.5073093126,0.5135999836,0.5240745015,0.4437976323,0.481817824,0.4718892024,0.5245462536,0.4806157389,0.4890006953,0.5124545244,0.4488628774,0.4768573242,0.5608094642,0.4931080131,0.4882395095,0.5083833087,0.5140272521,0.5507517405,0.4749943228,0.4987583903,0.4906798044,0.4596092484,0.4763170038,0.5080408827,0.4860683488,0.5245605482,0.5236557738,0.4881571862,0.5328357684,0.4844875917,0.5095240189,0.4546627849,0.4567590178,0.5077207362,0.4736060743,0.4880826181,0.4686524471,0.4999911875,0.4977376543,0.4602195906,0.508574889,0.479266737,0.5045692271,0.521910245,0.4449804594,0.5249486262,0.48837539,0.4824726697,0.4939895493,0.493765405,0.0261257298,0.0006825538,,,
4,0.481051475,0.5131899837,0.4730935478,0.4688530227,0.4645280113,0.4910521068,0.4587503647,0.4546328687,0.4971030446,0.4772166805,0.4854135257,0.4964914594,0.4812848415,0.5001953569,0.4666662237,0.4657049246,0.5005268921,0.4917434401,0.4674649103,0.4930305706,0.4463574422,0.4586359049,0.5167950954,0.4830344641,0.4843022234,0.4741695155,0.5051461839,0.5098461205,0.50856216,0.4946532433,0.4774170375,0.4955681957,0.45283636,0.4657402342,0.461498002,0.5175055153,0.4932089056,0.4842084123,0.505327903,0.5057713501,0.4878747236,0.508141531,0.4855933153,0.4785684304,0.4758986241,0.4694535112,0.4834051093,0.4988573107,0.5044831154,0.5158827529,0.4921024452,0.5303886442,0.4684223961,0.4763498619,0.5091596894,0.4536017091,0.5015517377,0.4846935135,0.4805489901,0.5150558671,0.5057393643,0.5173153139,0.4997262489,0.5154277174,0.5038942433,0.4874831138,0.5049766383,0.4531406517,0.4719960878,0.5073842128,0.4729411566,0.486699311,0.508237177,0.5014405397,0.4856938012,0.4908033479,0.4800002794,0.5158280765,0.4826333649,0.5077814218,0.5073767887,0.4915104467,0.4908493604,0.4820265464,0.4664186891,0.4957350063,0.4923972871,0.4704206761,0.4923091939,0.4988272642,0.4906232701,0.4792148608,0.5301336086,0.5085507898,0.5057108504,0.4924571784,0.4732383218,0.4842266762,0.5053428852,0.4845736925,0.4892969626,0.0182430024,0.0003328071,,,
5,0.498492077,0.4748533741,0.4944490495,0.5225769367,0.4845903582,0.4859608657,0.4778601843,0.4906775144,0.4769036178,0.4775481547,0.5017933252,0.4947935846,0.4781257438,0.5157169356,0.4911429835,0.4906052754,0.4565291396,0.4889179512,0.5019482788,0.4798700378,0.4983494676,0.4795669401,0.4842534512,0.4644660603,0.5029875123,0.4997666547,0.4717443603,0.5330922477,0.5061270033,0.4974094534,0.4806554833,0.4701141148,0.4886457047,0.4669552503,0.4900911773,0.4838739879,0.4843220164,0.5203792093,0.4789960211,0.5019702738,0.5132032888,0.5150086881,0.4823494942,0.5090162605,0.4701612738,0.4814578278,0.4879314235,0.4980334775,0.5064348828,0.4918774466,0.4611239127,0.498188106,0.4983542684,0.479061091,0.4925061995,0.4834034408,0.4519322842,0.4834869492,0.4952220183,0.5070426071,0.4837661371,0.5103354133,0.482598088,0.4684710406,0.4879974934,0.4944688523,0.4748235166,0.5172344386,0.5020782895,0.5282411711,0.4915403498,0.4891642297,0.4928930122,0.4775738637,0.4813468495,0.4888283998,0.4913115712,0.4747311402,0.4771800489,0.4913470061,0.471320064,0.4881997709,0.4865986471,0.4983785398,0.4728502355,0.494914291,0.4968660575,0.51088289,0.4831692704,0.4830327495,0.4830869251,0.4978571979,0.498293884,0.5247225005,0.5007875847,0.5132614649,0.4773496877,0.4998402516,0.4997045888,0.4960340729,0.490759983,0.015375201,0.0002363968,,,
6,0.4972563666,0.4769056429,0.4931572601,0.4862112637,0.4835566917,0.482475775,0.5076453995,0.4850897757,0.5173213119,0.4638574126,0.493731188,0.4832681309,0.4912994186,0.466546321,0.4750239669,0.5155592561,0.4933951332,0.4940620758,0.4917118603,0.4930234822,0.4983488217,0.5069422908,0.4859158263,0.4731946287,0.4733369437,0.4777721035,0.5083413289,0.4619368498,0.4867666443,0.4795086368,0.4988962542,0.5051624704,0.4877125503,0.4863343269,0.4832133168,0.4899566167,0.4755255484,0.474559462,0.4949203812,0.5029579933,0.4890858067,0.4703908232,0.5110075336,0.5015999934,0.5047522087,0.4997397176,0.4919553442,0.4877908929,0.4740639037,0.4852104176,0.5022058381,0.502520601,0.4949391278,0.4891881858,0.4794836493,0.4962797687,0.4940624099,0.5086199332,0.5100149244,0.5202199725,0.4780454856,0.4785777132,0.4665741989,0.5023589844,0.4961592241,0.5270930534,0.4870037209,0.4772097515,0.491344563,0.4764440914,0.4867442899,0.4945545405,0.4899744338,0.4926621071,0.4899524871,0.4860587799,0.497604932,0.4852934062,0.4818716444,0.4978578051,0.4967570788,0.4791061842,0.4857393415,0.4858918521,0.4882346981,0.5232460636,0.4987379678,0.5005160719,0.4873625604,0.5020999337,0.4869464717,0.5038789224,0.5096689215,0.5005961697,0.4940647563,0.4829769334,0.4915734562,0.4993187377,0.4961137207,0.4822893544,0.4913403619,0.0127640765,0.0001629216,,,
7,0.4873183689,0.5052740591,0.4838101197,0.4787247156,0.4947730594,0.4860922757,0.4939261048,0.4892790697,0.481501146,0.4810253438,0.4964503236,0.5063454583,0.5093118866,0.4910870621,0.4944526031,0.5025972133,0.4956339429,0.483426408,0.4952405344,0.5053924566,0.4844057655,0.4737948573,0.499019686,0.4684562786,0.4976449341,0.4904422764,0.4932480813,0.5046791714,0.4860159273,0.4912591871,0.506522882,0.4907389633,0.5007698326,0.4786602511,0.5038813308,0.4944822749,0.4756893263,0.4855045366,0.4843847678,0.486340497,0.50221439,0.4967642947,0.4909238915,0.4750659665,0.5070029326,0.4908547,0.5041402071,0.4848547782,0.491755828,0.4988744454,0.4983489998,0.4836152859,0.4960887428,0.5016285059,0.4838731732,0.4774629666,0.4792820264,0.5143126792,0.4738144569,0.4976767541,0.5148600813,0.4931760471,0.4906282267,0.4907804382,0.4985005281,0.4747485465,0.4856693996,0.5010418551,0.4897000035,0.5006385394,0.4807595444,0.509093013,0.4724431794,0.4915917009,0.4809620952,0.5068152062,0.4976254333,0.4872436411,0.4982918331,0.475651767,0.487294289,0.501308208,0.4739672662,0.5055808484,0.476496998,0.5049562521,0.4883513876,0.5128415493,0.4898714147,0.4818321634,0.4924706633,0.4702990103,0.493340878,0.4893024726,0.4799051821,0.4897709428,0.470363523,0.4944537231,0.4800061833,0.494250089,0.4912304213,0.0108444299,0.0001176017,,,
8,0.4796365547,0.4920637854,0.4888177393,0.4985187698,0.5031833068,0.4934096927,0.5060156072,0.4845917268,0.4751579255,0.4990290629,0.4886255294,0.4980336477,0.4855683052,0.4850938222,0.4939736391,0.4949884154,0.4916098353,0.4890096031,0.4953402456,0.4948025107,0.4872394963,0.482240816,0.5021106976,0.4899723341,0.4919687526,0.4935078354,0.4822361888,0.4860015084,0.4914333275,0.4936494611,0.4967419893,0.464461174,0.4942537772,0.4817376972,0.4814768448,0.4865728726,0.4896452669,0.4933518004,0.4863882333,0.4935324902,0.4957609328,0.4900367988,0.4956551402,0.4854020024,0.4870666597,0.4881307869,0.4806237719,0.5084940859,0.4888221659,0.4925515371,0.4892081212,0.4903491247,0.4979237659,0.4860871044,0.4811088014,0.4999712989,0.4894225115,0.4879518621,0.4844283761,0.484762871,0.494173203,0.4844545317,0.4928771608,0.4906874112,0.5006762125,0.5206369584,0.5003438055,0.5027389789,0.5115721524,0.5032295155,0.5007691592,0.4936963359,0.5119483668,0.4958693714,0.5055882959,0.4951182144,0.5013731857,0.497317098,0.4850258967,0.4898234737,0.4847511551,0.4924507801,0.4999297337,0.4799443081,0.493515147,0.4821129369,0.4944378466,0.5033185262,0.4975770264,0.4944099967,0.4985190772,0.4930915989,0.4809660254,0.4924377025,0.5047770559,0.4939602516,0.4969331324,0.4947844151,0.4902932933,0.4849161521,0.492407955,0.008344363,6.962839407903406e-05,,,
9,0.5008531197,0.4757222447,0.4764443075,0.4962134778,0.4957067734,0.4842194629,0.497139159,0.4813141457,0.4996059061,0.5009515943,0.4808793919,0.4878443877,0.5008918967,0.4882973402,0.4912761323,0.4963669869,0.48398144,0.4952054639,0.5144160028,0.4973606175,0.4870825055,0.489164912,0.4940802408,0.492648076,0.504876085,0.4919787444,0.4851670768,0.498994098,0.4881530133,0.5055841961,0.5085176223,0.4950113403,0.502966956,0.4836133779,0.4849366783,0.4971010006,0.5039360509,0.4930937735,0.4870612652,0.4882311803,0.4805700689,0.4896198314,0.5066631205,0.4812942942,0.4867567194,0.5067450903,0.5032459358,0.4969618762,0.4956076094,0.4967919921,0.5084457557,0.4869517045,0.4893995651,0.4848159854,0.4901857362,0.492096891,0.5013230084,0.4898104331,0.4812167179,0.4895956452,0.4987678089,0.4884440078,0.4808036188,0.4885610314,0.4873436095,0.4805628159,0.4821684394,0.5104035603,0.4891285674,0.5036827264,0.4946377849,0.5054133305,0.4958275783,0.4880281898,0.500513611,0.5050416137,0.5044884006,0.4989125857,0.4789299915,0.5001605807,0.488936266,0.4910144862,0.4941551258,0.4923436271,0.4817302727,0.499819893,0.4946012953,0.4935295231,0.4953955083,0.4883002774,0.4840160539,0.4892771942,0.490280067,0.4865589466,0.4897526729,0.4861114492,0.4935683477,0.4902878944,0.480645988,0.4866924591,0.4926382323,0.0083018736,6.892110544340792e-05,,,
10,0.4994086209,0.4901056641,0.4878404324,0.4826511861,0.4895249937,0.488332085,0.4929741054,0.4883182008,0.4984937744,0.4847281457,0.4918393141,0.4905457736,0.4976395155,0.4955853068,0.4866466987,0.4951682893,0.4895581157,0.4877419792,0.486765156,0.4855950934,0.4831709864,0.4907583685,0.4922917371,0.4859563875,0.5011290067,0.4845389277,0.4953430881,0.4819011337,0.4860112974,0.4913435399,0.4894930678,0.4878435357,0.4891076975,0.4934418269,0.4864600715,0.4779913314,0.4889198131,0.4931778012,0.4951537618,0.4922912823,0.4913854951,0.4747879424,0.4939528074,0.4981615218,0.4855032226,0.4943727467,0.4875143246,0.4935531926,0.5005214209,0.4837443437,0.4873844442,0.5039114825,0.4991599418,0.478308716,0.4871102958,0.5009269483,0.5003453679,0.4912191646,0.4817698292,0.4927551495,0.4921127497,0.4956535719,0.4856014383,0.4928484812,0.4915111843,0.4911029365,0.4865709609,0.4917425531,0.4910118055,0.4844870141,0.5013970137,0.4904970888,0.4894342047,0.4936170273,0.4933529682,0.4826789112,0.4855545134,0.4941750826,0.4981113169,0.4862178793,0.4811957725,0.4926079115,0.4909377629,0.4930426036,0.4944068424,0.481727542,0.4936323428,0.4950790924,0.4854346671,0.4987959036,0.4875947638,0.483903175,0.4916299946,0.4860039628,0.5032333787,0.5112868204,0.4903673312,0.4909534639,0.4966976103,0.4963807155,0.4908476583,0.0061128735,3.7367222789501e-05,,,
11,0.5070088191,0.4873230124,0.4926462642,0.4957004988,0.4948480494,0.4966985151,0.4809579113,0.484881894,0.4923591603,0.4842474838,0.4942423947,0.4877098184,0.4908349529,0.4912551135,0.4902814341,0.4895545653,0.4864193447,0.4846714465,0.4874341366,0.492512712,0.4915277165,0.4917777448,0.4955196751,0.4930871508,0.5030549637,0.4926827025,0.4878985201,0.4895460212,0.4969143174,0.4794569466,0.4898207246,0.5001803689,0.489096392,0.489033238,0.4879478335,0.4885879214,0.4880171139,0.4861380552,0.4938471494,0.4885606121,0.4931203885,0.4880694065,0.4907690807,0.4930729064,0.4837030338,0.491461972,0.4920764796,0.4917609844,0.4945669944,0.4887943966,0.4980230206,0.4912931778,0.4940910355,0.4827371366,0.4997709748,0.4870388754,0.4894969607,0.4907894653,0.4947142077,0.4921600097,0.4980587814,0.4988119512,0.4957188213,0.4917238343,0.4867595695,0.4898132268,0.4906490456,0.4977706125,0.4932961296,0.4957313457,0.4892780663,0.4984261075,0.492098468,0.4862058607,0.4922200625,0.4863295731,0.4910300439,0.4894264799,0.4813515995,0.4985141266,0.4914117132,0.4845409605,0.4889920503,0.492501041,0.4954539779,0.4874194801,0.4920265407,0.4897585983,0.5008365457,0.4902602737,0.4926913617,0.4868127013,0.4959591517,0.4897513522,0.49675672,0.4804606222,0.4839002328,0.4925130049,0.4847883823,0.4974441159,0.4911928573,0.0049734044,2.473475136349186e-05,,,
12,0.4910030215,0.4902745894,0.4936865956,0.490524968,0.4909610171,0.4843742966,0.48955388,0.487536119,0.4931710436,0.4929050331,0.4899937792,0.4878885657,0.4955710326,0.4902384692,0.4936850295,0.4887053473,0.4956549061,0.4867341032,0.4917262406,0.4919419518,0.4862762391,0.4912867287,0.4907052772,0.4870296165,0.4900075975,0.4876621608,0.4846839827,0.4881749996,0.4896428949,0.4896798098,0.4892472525,0.4905602212,0.4911080013,0.4907324901,0.4939287223,0.4913383167,0.4899083443,0.4941880124,0.4910068285,0.4937058132,0.4886290503,0.4897920909,0.4960237916,0.4937733915,0.4926314607,0.4981363648,0.4869187304,0.4939967046,0.4955432194,0.4914136222,0.4884860393,0.4960150797,0.4926565887,0.4959607132,0.4930561941,0.4924926698,0.4911159701,0.4908096671,0.492177281,0.494856623,0.4928289649,0.4927806083,0.4872989141,0.4953658804,0.4904443444,0.492936109,0.4893341205,0.4887556808,0.4871299651,0.4910152391,0.4888507325,0.4958321474,0.4960409324,0.4935095197,0.4932934982,0.4904901002,0.4849103589,0.4887733062,0.4951391767,0.4858162025,0.4920031372,0.4913212899,0.4914704628,0.4887114736,0.4892593873,0.4911891819,0.4874166268,0.4903052526,0.4869207542,0.484789711,0.4926395113,0.4933540066,0.4921296937,0.4869420112,0.4929302978,0.5019489582,0.4948405742,0.4912155044,0.4937752795,0.4964175982,0.4912161506,0.0031888354,1.0168671238177407e-05,,,
